*本資料庫所列數值單位均為每100 g可食部分之含量。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整合編號,食品分類,樣品名稱,內容物描述,俗名,廢棄率(%),熱量(kcal),修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),錳(mg),維生素A總量(IU),視網醇當量(RE)(ug),視網醇(ug),α-胡蘿蔔素(ug),β-胡蘿蔔素(ug),維生素D總量(IU),維生素D總量(ug),維生素D2(ug),維生素D3(ug),維生素E總量(mg),α-維生素E當量(α-TE)(mg),α-生育酚(mg),β-生育酚(mg),γ-生育酚(mg),δ-生育酚(mg),維生素K1(ug),維生素K2 (MK-4)(ug),維生素K2 (MK-7)(ug),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),酪酸(4:0)(mg),己酸(6:0)(mg),辛酸(8:0)(mg),癸酸(10:0)(mg),月桂酸(12:0)(mg),十三酸(13:0)(mg),肉豆蔻酸(14:0)(mg),十五酸(15:0)(mg),棕櫚酸(16:0)(mg),十七酸(17:0)(mg),硬脂酸(18:0)(mg),十九酸(19:0)(mg),花生酸(20:0)(mg),山酸(22:0)(mg),廿四酸(24:0)(mg),脂肪酸M總量(mg),肉豆蔻烯酸(14:1)(mg),棕櫚烯酸(16:1)(mg),油酸(18:1)(mg),鱈烯酸(20:1)(mg),芥子酸(22:1)(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),十八碳四烯酸(18:4)(mg),花生油酸(20:4)(mg),廿碳五烯酸(20:5)(mg),廿二碳五烯酸(22:5)(mg),廿二碳六烯酸(22:6)(mg),其他脂肪酸(mg),P/M/S,反式脂肪(mg),水解胺基酸總量(mg),天門冬胺酸(Asp)(mg),酥胺酸(Thr)(mg),絲胺酸(Ser)(mg),麩胺酸(Glu)(mg),脯胺酸(Pro)(mg),甘胺酸(Gly)(mg),丙胺酸(Ala)(mg),胱胺酸(Cys)(mg),纈胺酸(Val)(mg),甲硫胺酸(Met)(mg),異白胺酸(Ile)(mg),白胺酸(Leu)(mg),酪胺酸(Tyr)(mg),苯丙胺酸(Phe)(mg),離胺酸(Lys)(mg),組胺酸(His)(mg),精胺酸(Arg)(mg),色胺酸(Trp)(mg),膽固醇(mg),酒精含量(g)
A0100101,穀物類,大麥仁,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎","小薏仁,洋薏仁,珍珠薏仁",0 ,365 ,347,11.7,8.6,1.6,0.5,1.0,77.1,8.5,0.4,0.0,0.0,0.0,0.0,0.3,0.0,13,249,26,54,1.8,1.2,165,0.220 ,0.808 ,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0.00 ,1.04 ,0.47 ,0.40 ,0.02 ,0.60 ,0.01 ,0.00 ,0.00 ,0.00 ,0.17,0.03,3.33,0.18,0.00,49.6,0.2,467,0,0,0,0,0,0,4,0,423,0,32,0,1,3,4,165,0,1,156,2,7,946,891,55,0,0,0,0,0,16,5.73/1.00/2.83,0 ,8157 ,464 ,275 ,361 ,2168 ,1013 ,328 ,319 ,225 ,405 ,66 ,284 ,587 ,245 ,423 ,288 ,233 ,381 ,93 ,0 ,
A0110101,穀物類,大麥片,樣品狀態:生; 前處理描述:混合均勻打碎,,,365 ,352,12.1,8.6,1.8,0.5,0.8,76.7,6.0,,,,,,,,7,246,13,55,2.2,0.8,129,,,0,0,,0,0,,,,,0.26 ,0.13 ,0.11 ,0.03 ,0.12 ,0.01 ,,,,0.15,0.04,3.23,0.18,,27.7,9.8,456,0,0,0,0,0,0,5,0,404,0,35,0,5,6,0,308,0,0,260,14,34,1026,963,63,0,0,0,0,0,0,3.33/1.00/1.48,,9031 ,474 ,288 ,359 ,2386 ,1259 ,332 ,335 ,351 ,427 ,106 ,331 ,654 ,276 ,474 ,312 ,201 ,422 ,44 ,,
A0120101,穀物類,大麥仁粉,樣品狀態:烘烤過; 前處理描述:混合均勻,"小薏仁粉,洋薏仁粉,珍珠薏仁粉",,389 ,374,5.7,7.1,1.3,0.4,0.9,85.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,10,307,25,50,1.1,1.3,166,,,0,0,,,0,,,,,0.12 ,0.08 ,0.07 ,0.02 ,0.03 ,0.00 ,,,,0.09,0.03,2.85,0.23,,44.7,0.0,368,0,1,2,2,10,0,10,1,303,1,29,0,3,4,0,221,0,2,194,7,18,726,684,42,0,0,0,0,0,0,3.29/1.00/1.67,,8332 ,495 ,272 ,358 ,2375 ,910 ,326 ,319 ,148 ,431 ,117 ,319 ,640 ,251 ,432 ,269 ,184 ,347 ,139 ,,
A0200101,穀物類,小米,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎",,,370 ,365,12.3,11.3,3.7,0.4,1.1,71.7,2.2,,,,,,,,1,202,5,108,2.9,2.3,164,,,0,0,,0,0,,,,,1.45 ,0.20 ,0.08 ,0.03 ,0.96 ,0.39 ,,,,0.46,0.11,4.15,0.32,,45.2,0.2,442,0,0,0,0,0,0,0,0,332,0,62,0,22,15,11,826,0,0,806,20,0,2387,2352,35,0,0,0,0,0,0,5.41/1.87/1.00,,10268 ,657 ,311 ,631 ,2199 ,1232 ,236 ,1104 ,265 ,462 ,232 ,403 ,772 ,367 ,546 ,147 ,215 ,331 ,160 ,,
A0200201,穀物類,糯小米,樣品狀態:生; 前處理描述:混合均勻磨碎,,,360 ,357,12.9,12.5,1.5,0.3,0.6,72.5,1.4,0.0,0.0,0.0,,0.0,0.0,0.0,1,142,9,48,2.2,2.0,108,,,96,10,,0,57,,,,,0.58 ,0.07 ,0.03 ,0.01 ,0.33 ,0.21 ,,,,0.17,0.06,2.17,0.19,,28.5,0.5,257,0,0,0,0,0,0,0,0,200,0,35,0,10,7,3,341,0,2,333,6,0,918,901,17,0,0,0,0,0,0,3.58/1.33/1.00,,11037 ,684 ,293 ,719 ,2639 ,390 ,112 ,1393 ,227 ,506 ,133 ,479 ,1615 ,399 ,638 ,127 ,233 ,271 ,179 ,,
A0300101,穀物類,小麥,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎",,,362 ,338,12.6,14.1,2.6,0.5,1.5,69.2,11.3,,,,,,,,1,364,19,137,3.4,3.0,241,,,0,0,,0,0,,,,,3.50 ,1.71 ,1.27 ,0.56 ,1.60 ,0.07 ,,,,0.41,0.10,5.39,0.27,,73.3,5.1,467,0,0,0,0,0,0,0,0,441,0,26,0,0,0,0,458,0,0,437,21,0,1640,1526,114,0,0,0,0,0,0,3.58/1.00/1.02,,15029 ,711 ,426 ,690 ,4739 ,1899 ,606 ,502 ,574 ,588 ,185 ,493 ,1024 ,457 ,711 ,397 ,357 ,669 ,0 ,,
A0310101,穀物類,小麥胚芽,樣品狀態:生; 前處理描述:混合均勻打碎,,,417 ,396,4.2,31.4,11.6,1.7,4.9,47.9,10.0,,,,,,,,3,986,45,333,6.0,14.9,1173,,,29,3,,0,17,,,,,19.13 ,16.08 ,13.20 ,5.72 ,0.21 ,0.00 ,,,,2.44,0.52,4.02,1.40,,329.3,0.0,1735,0,0,0,0,0,0,10,0,1669,0,51,0,0,0,5,1870,0,0,1717,153,0,7990,7141,848,0,0,0,0,0,0,4.61/1.08/1.00,,28887 ,2779 ,1235 ,1307 ,4479 ,1400 ,1842 ,1953 ,1412 ,1473 ,393 ,991 ,1995 ,833 ,1080 ,1996 ,779 ,2620 ,321 ,,
A0320101,穀物類,去筋麵粉,前處理描述:混合均勻,澄粉,,355 ,354,13.6,0.2,0.1,0.0,0.3,85.7,0.4,0.0,0.0,0.0,,0.0,0.0,0.0,29,9,7,2,0.0,0.0,38,,,0,0,,,0,,,,,0.04 ,0.02 ,0.02 ,0.00 ,0.02 ,0.00 ,,,,0.01,0.00,0.10,0.02,,17.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A0320202,穀物類,低筋麵粉,前處理描述:混合均勻,,,364 ,359,12.0,8.1,1.2,0.2,0.5,78.2,2.0,,,,,,,,1,148,12,26,1.2,0.6,75,,,0,0,,0,0,,,,,1.01 ,0.51 ,0.36 ,0.23 ,0.42 ,0.01 ,,,,0.17,0.04,0.88,0.07,,40.0,5.1,246,0,0,0,0,0,0,1,0,227,0,13,0,2,0,3,179,0,2,169,8,0,750,706,44,0,0,0,0,0,0,4.19/1.00/1.37,,8607 ,398 ,247 ,407 ,2857 ,1071 ,317 ,285 ,329 ,376 ,43 ,299 ,597 ,215 ,382 ,208 ,198 ,322 ,56 ,,
A0320301,穀物類,中筋麵粉,前處理描述:混合均勻,,,361 ,357,12.6,11.5,1.3,0.3,0.5,74.1,1.8,,,,,,,,4,125,12,29,0.9,0.7,76,,,0,0,,0,0,,,,,0.85 ,0.35 ,0.23 ,0.16 ,0.47 ,0.00 ,,,,0.12,0.08,1.01,0.08,,43.8,5.1,276,0,0,0,0,0,0,1,0,251,0,15,0,2,3,3,211,0,2,200,9,0,822,777,45,0,0,0,0,0,0,3.89/1.00/1.31,,13037 ,510 ,335 ,580 ,4576 ,1691 ,453 ,384 ,442 ,525 ,149 ,456 ,898 ,389 ,626 ,267 ,282 ,474 ,0 ,,
